PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J								A knowledge-based approach to hierarchical classification: A voting metaphor	EXPERT SYSTEMS WITH APPLICATIONS										Hierarchical classification; Knowledge-based classification; Rule-based systems; Performance measures		The paper proposes a new approach to hierarchical classification based on condition-action rules that represent expert knowledge in a given domain. The approach adopts a voting metaphor: each rule is regarded as a voter that expresses a preference for a given category to be assigned to an item to be classified; the category that receives more votes wins. Novel performance measures of hierarchical classifiers are also introduced that aim at overcoming the limitations of the current concepts of precision and recall. The proposed approach can be applied to any hierarchical classification task, for which expert knowledge is available. The viability of the approach and its performance are shown through a real-size application concerning the e-mail dispatching task inside a large public administration. The results obtained demonstrate that the proposed knowledge-based approach to hierarchical classification can reach a performance level comparable to that of human experts, if not even better. (c) 2020 Elsevier Ltd. All rights reserved.																	0957-4174	1873-6793				DEC 15	2020	161								113737	10.1016/j.eswa.2020.113737													
J								Research on an advanced intelligence implementation system for engineering process in industrial field under big data	EXPERT SYSTEMS WITH APPLICATIONS										Advanced CBR; Big data; IE algorithm; DECMBD algorithm	BAYESIAN NETWORKS; CBR; PREDICTION; PERFORMANCE; ALGORITHM; SELECTION; ONTOLOGY; MACHINE; CLOUD; MODEL	To develop an advanced CBR system to well adapt to the intelligence implementation of new engineering process in the big data environment, Bayesian network (BN) model is introduced to CBR system for knowledge reasoning. However, as engineering application is becoming more and more complicated, the number of parameters used to define engineering application grows larger and larger, leading to the seriously reduced efficiency as well as the accuracy of the integrated model. For the problem of reduced efficiency, this paper proposes In-External (IE) algorithm to perform the assignment of big data distribution for parallel data processing, which can fully utilize the capacity of Hadoop system and attain the best efficiency of knowledge reasoning. For the problem of reduced accuracy, in view of the fact that traditional probability learning methods are unfit for the proposed CBR system, this paper proposes Discount Exponential Coefficients of Multivariate Beta Distribution (DECMBD) algorithm to conduct the probability learning of proposed system. In DECMBD algorithm, a discount ratio is given to each exponential coefficient of multivariate Beta distribution to improve the occurrence times counting of all problem features and then gain better effect of probability learning. Finally, lots of experiments are performed to validate the effectiveness of the proposed advanced CBR system. (c) 2020 Elsevier Ltd. All rights reserved.																	0957-4174	1873-6793				DEC 15	2020	161								113751	10.1016/j.eswa.2020.113751													
J								Dominant point detection based on suboptimal feature selection methods	EXPERT SYSTEMS WITH APPLICATIONS										Dominant point detection; Image compression; Suboptimal feature selection; Turning angle curvature; Computer vision	DIGITAL PLANAR CURVES; POLYGONAL-APPROXIMATION; ALGORITHM; POLYGONIZATION	This paper presents a viable alternative solution for dominant point detection predicated on the comparison of suboptimal feature selection methods. Suboptimal feature selection methods are utilized as standard criteria to identify dominant points. Considering that all of the combinations of points comprise many sets, an algorithm that eliminates some of them is affirmed and illustrated. The sequential backward selection, sequential forward selection, generalized sequential forward selection, generalized sequential backward selection and plus l-take away r selection methods are performed on the remaining points to extract the dominant points. The simulation results exhibit that this method is significantly more effective and efficient in comparison to other proposed methods. (c) 2020 Elsevier Ltd. All rights reserved.																	0957-4174	1873-6793				DEC 15	2020	161								113741	10.1016/j.eswa.2020.113741													
J								Skin lesion segmentation using fully convolutional networks: A comparative experimental study	EXPERT SYSTEMS WITH APPLICATIONS										Deep Learning; Convolutional Neural Network; Fully Convolutional Network; Medical Image Segmentation	BRAIN-TUMOR SEGMENTATION; COMPUTATIONAL APPROACH; IMAGE SEGMENTATION; DEEP; ACCURACY	Because the most dangerous type of skin cancer, melanoma, is very difficult for dermatologists to detect because of the low contrast between the lesion and the adjacent skin, the automatic application of skin lesion segmentation is regarded as very challenging. This paper proposes the implementation of a medical image segmentation that will accelerate a melanoma diagnosis by dermatologists. In the implementation, Fully Convolutional Network (FCN) architectures generated by modifying Convolutional Neural Network (CNN) architectures are used. The proposed algorithm for an automatic semantic segmentation of skin lesions utilizes four different FCN architectures, FCN-AlexNet, FCN-8s, FCN-16s, and FCN-32s. The experimental studies in this paper are constructed on the ISIC 2017 dataset, and the evaluations of these architectures on the dataset are carried out for the first time with this study. In the experimental studies, once the images in the dataset are preprocessed, the FCNs are first trained separately. Secondly, the accuracies and Dice coefficients on the validation dataset are calculated by using these trained FCN architectures. Thirdly, the obtained results are compared. Finally, the inferences of lesion segmentation are visualized in order to exhibit how exactly the FCN architectures can segment the lesions. The experimental results show that the FCNs in the proposed algorithm are suitable for skin lesion segmentation. In addition, it is thought that the experimental results will contribute to the scientific literature and assist the researchers who are working on medical image segmentation. (c) 2020 Elsevier Ltd. All rights reserved.																	0957-4174	1873-6793				DEC 15	2020	161								113742	10.1016/j.eswa.2020.113742													
J								Inverse data envelopment analysis for operational planning: The impact of oil price shocks on the production frontier	EXPERT SYSTEMS WITH APPLICATIONS										Operational planning; Frontier shift; Data envelopment analysis; Anchoring point; Natural gas; Cross-price elasticity	NETWORK DEA APPROACH; MEASURING EFFICIENCY; FUZZY-DEA; TECHNOLOGY; MODEL; PERFORMANCE; EVOLUTION; BANKS; STATE; ART	Inverse data envelopment analysis (DEA) is a useful planning tool, especially when it is combined with frontier changes that accurately reflect reality. This paper proposes an inverse optimization model for operational planning by taking into account frontier changes in conjunction with environmental factors. The aim is not only to present a computational procedure of a new measure to properly capture the effective frontier changes, but more importantly to demonstrate how frontier changes observed in the past can be utilized to provide insights into estimation of the future production frontier. In essence, the proposed model is intended to help establish realistic goals for operational planning practices. The model is applied to the Korean natural gas industry as an empirical demonstration. (c) 2020 Elsevier Ltd. All rights reserved.																	0957-4174	1873-6793				DEC 15	2020	161								113726	10.1016/j.eswa.2020.113726													
J								An effective binary artificial bee colony algorithm for maximum set k-covering problem	EXPERT SYSTEMS WITH APPLICATIONS										Maximum set k-covering problem; Artificial bee colony algorithm; Local search; Heuristic; Binary programming	TABU SEARCH	Given a row set M and a column set C, where each column in C covers several rows of M, the maximum set k-covering problem (MKCP) is to select k columns from C, such hat the number of rows covered by the selected columns is maximized. It can be formulated as linear integer programming, and has several real world applications. Several heuristic approaches have been previously presented for solving the MKCP. However, the obtained solution quality is not stable, and the solution time increases very quickly as the size of the instance increases. This work proposes a hybrid binary artificial bee colony algorithm (HBABC) to solve the MKCP. First, based on the characteristic of MKCP, HBABC redesigns a food source updating method. The new updating method uses the previously found solutions to guide the search. Second, to improve the exploitation ability of the HBABC, a tabu based simulated annealing (TBSA) is proposed. Moveover, we employ a bucket sorting technique to speed up the TBSA. Finally, the computational results on 75 benchmark instances demonstrate that the HBABC competes favorably with other algorithms. Specifically, our algorithm improves the best known solutions on about 20 percent of the tested instances. In addition, the HBABC performs better than two binary artificial bee colony algorithms on the tested instances. (c) 2020 Elsevier Ltd. All rights reserved.																	0957-4174	1873-6793				DEC 15	2020	161								113717	10.1016/j.eswa.2020.113717													
J								Detecting and visualizing hate speech in social media: A cyber Watchdog for surveillance	EXPERT SYSTEMS WITH APPLICATIONS										Natural language processing; Deep learning; Hate speech; Aggression detection; Text classification; Social media visualization		The multi-fold growth of the social media user-base fuelled a substantial increase in the amount of hate speech posts on social media platforms. The enormous data volume makes it hard to capture such cases and either moderate or delete them. This paper presents an approach to detect and visualize online aggression, a special case of hate speech, over social media. Aggression is categorized into overtly aggressive (OAG), covertly aggressive (CAG), and non-aggressive labels (NAG). We have designed a user interface based on a web browser plugin over Facebook and Twitter to visualize the aggressive comments posted on the Social media user's timelines. This plugin interface might help to the security agency to keep a tab on the social media stream. It also provides citizens with a tool that is typically only available for large enterprises. The availability of such a tool alleviates the technological imbalance between industry and citizens. Besides, the system might be helpful to the research community to create further tools and prepare weakly labeled training data in a few minutes using comments posted by users on celebrity's Facebook, Twitter timeline. We have reported the results on a newly created dataset of user comments posted on Facebook and Twitter using our proposed plugins and the standard Trolling Aggression Cyberbullying 2018 (TRAC) dataset in English and code-mixed Hindi. Various classifiers like Support Vector Machine (SVM), Logistic regression, deep learning model based on Convolution Neural Network (CNN), Attention-based model, and the recently proposed BERT pre-trained language model by Google AI, have been used for aggression classification. The weighted F1-score of around 0.64 and 0.62 is achieved on TRAC Facebook English and Hindi datasets while on Twitter English and Hindi datasets, the weighted F1-score is 0.58 and 0.50, respectively. (c) 2020 Elsevier Ltd. All rights reserved.																	0957-4174	1873-6793				DEC 15	2020	161								113725	10.1016/j.eswa.2020.113725													
J								Gaining insight to B2B relationships through new segmentation approaches: Not all relationships are equal	EXPERT SYSTEMS WITH APPLICATIONS										Market segmentation; B2B market; Multi-objective market segmentation; Pareto optimal solution	CUSTOMER RELATIONSHIP MANAGEMENT; SUPPLY CHAIN RELATIONSHIPS; MARKET-SEGMENTATION; SOCIAL-EXCHANGE; TRUST; SATISFACTION	B2B market segmentation has both structure complexity and computation complexity. The existing market segmentation methods can not directly address these two challenges simultaneously and provide a comprehensive view of the whole problem. Nor are they able to provide guidance on the selection of the most suitable solution among candidates. This study formulates the B2B segmentation as a multidimensional optimization problem that integrates both customer behavior and marketing effectiveness. It applies an integrated segmentation method that unifies two market segmentation approaches: the Embedded Exchange Approach (a descriptive model) and the Predictive Satisfaction Approach (a predictive model). It proposes the use of an evolutionary based, multi-objective segmentation method to solve the structural and computational challenges. The method generates a set of Pareto optimal solutions which not only gives a holistic view of possible solutions in the Pareto optimal space but also allows marketers to use solution selection algorithm based on the properties of Pareto optimal sets. The study develops a solution selection algorithm that represents a good tradeoff of two objectives based on the geometric shape of the Pareto optimal solution front. Published by Elsevier Ltd.																	0957-4174	1873-6793				DEC 15	2020	161								113767	10.1016/j.eswa.2020.113767													
J								Robust matching cost function based on evolutionary approach	EXPERT SYSTEMS WITH APPLICATIONS										Meta-heuristics; Matching cost; Stereo matching	OPTIMIZATION	This paper proposes a novel stereo matching method with a matching cost function learned from training data. Because the cost function includes a considerably large number of parameters required to select their values, it is nearly impossible to manually select the values. We employ an evolutionary algorithm to automatically optimize the parameter values for each dataset. Using Middlebury, KITTI 2012, and KITTI 2015 dataset, we compare the proposed stereo matching method with state-of-the-art stereo matching methods that can achieve real-time computation. Experimental results show that the proposed method outperforms the real-time state-of-the-art stereo matching methods. (c) 2020 Elsevier Ltd. All rights reserved.																	0957-4174	1873-6793				DEC 15	2020	161								113712	10.1016/j.eswa.2020.113712													
J								Latent state recognition by an enhanced hidden Markov model	EXPERT SYSTEMS WITH APPLICATIONS										LASSO; Vector-autoregressive model; Hidden Markov model	TIME-SERIES; CONDITIONAL HETEROSCEDASTICITY; MAXIMUM-LIKELIHOOD; STYLIZED FACTS; STOCK RETURNS; SHRINKAGE; REGULARIZATION; INFORMATION; ESTIMATOR; ALGORITHM	In this paper, we start from relaxing assumptions of traditional hidden Markov model then develop a novel framework for decoding the latent states, from which the dynamics of multi-variable financial data is generated. To construct the framework, we model the observed variables as a p-order vector autoregressive process, allow the latent state to evolve through a semi-Markov chain, and shrink the auto-regression and covariance matrices via a penalized maximization likelihood method. Using the 50-dimensional simulated data, the 12-dimensional 5-min order book data of the Chinese CSI 300 index component stocks, the 49-dimensional daily data of U.S. industry portfolio, and 1-dimensional hourly data of four primary foreign exchange rates, our empirical analyses show that the proposed model outperforms the alternative model in accurately recognizing anomalous events and achieves better sharp ratio in a pseudo trading strategy via the latent states. The superior performance is across the data frequency of minute, hour and daily, the dimension of one, twelve, and fifty, the data type of stock, foreign exchange rate, and industry portfolio. (c) 2020 Elsevier Ltd. All rights reserved.																	0957-4174	1873-6793				DEC 15	2020	161								113722	10.1016/j.eswa.2020.113722													
