"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,"52,888",17861,0.065590
2,Information Fusion,"6,409",13669,0.011290
3,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,"15,581",11169,0.011770
4,MEDICAL IMAGE ANALYSIS,"9,028",11148,0.017230
5,IEEE Transactions on Cybernetics,"17,681",11079,0.052510
6,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,"5,796",10312,0.004560
7,IEEE TRANSACTIONS ON FUZZY SYSTEMS,"16,974",9518,0.025300
8,IEEE TRANSACTIONS ON IMAGE PROCESSING,"47,814",9340,0.079450
9,IEEE Computational Intelligence Magazine,"1,538",9083,0.002780
10,IEEE Transactions on Neural Networks and Learning Systems,"27,88",8793,0.048650
11,IEEE Transactions on Affective Computing,"2,375",7512,0.003140
12,PATTERN RECOGNITION,"28,857",7196,0.033910
13,Swarm and Evolutionary Computation,"3,774",6912,0.004220
14,ARTIFICIAL INTELLIGENCE,"9,788",6628,0.007450
15,KNOWLEDGE-BASED SYSTEMS,"15,975",5921,0.026400
16,ARTIFICIAL INTELLIGENCE REVIEW,"3,229",5747,0.004000
17,INTERNATIONAL JOURNAL OF COMPUTER VISION,"16,022",5698,0.026000
18,International Journal of Neural Systems,"1,963",5604,0.002930
19,NEURAL NETWORKS,"14,065",5535,0.019060
20,APPLIED SOFT COMPUTING,"24,071",5472,0.035090
21,EXPERT SYSTEMS WITH APPLICATIONS,"43,958",5452,0.039020
22,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,"13,772",4935,0.019860
23,NEURAL COMPUTING & APPLICATIONS,"11,375",4774,0.015020
24,DECISION SUPPORT SYSTEMS,"10,739",4721,0.008830
25,INTEGRATED COMPUTER-AIDED ENGINEERING,665,4706,0.001100
26,Journal of Ambient Intelligence and Humanized Computing,"2,097",4594,0.001910
27,Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,"1,164",4476,0.001550
28,NEUROCOMPUTING,"35,692",4438,0.066460
29,International Journal of Fuzzy Systems,"2,566",4406,0.003540
30,ARTIFICIAL INTELLIGENCE IN MEDICINE,"2,953",4383,0.003390
31,Fuzzy Optimization and Decision Making,"1,098",4319,0.001040
32,JOURNAL OF INTELLIGENT MANUFACTURING,"4,655",4311,0.004540
33,Cognitive Computation,"1,705",4307,0.002900
34,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,"7,561",4201,0.009170
35,EVOLUTIONARY COMPUTATION,"3,226",3933,0.001920
36,ADVANCED ENGINEERING INFORMATICS,"3,173",3879,0.003410
37,Memetic Computing,571,3860,0.000820
38,Complex & Intelligent Systems,278,3791,0.000750
39,International Journal of Machine Learning and Cybernetics,"2,447",3753,0.003980
40,AUTONOMOUS ROBOTS,"3,472",3602,0.004130
41,JOURNAL OF MACHINE LEARNING RESEARCH,"28,234",3484,0.040630
42,IEEE Transactions on Human-Machine Systems,"1,556",3374,0.004100
43,APPLIED INTELLIGENCE,"3,732",3325,0.004900
44,PATTERN RECOGNITION LETTERS,"13,401",3255,0.014710
45,IEEE INTELLIGENT SYSTEMS,"3,141",3210,0.002820
46,Semantic Web,836,3182,0.001580
47,COMPUTER VISION AND IMAGE UNDERSTANDING,"5,691",3121,0.009020
48,Egyptian Informatics Journal,579,3119,0.000660
49,IMAGE AND VISION COMPUTING,"5,275",3103,0.006350
50,PeerJ Computer Science,685,3091,0.003300
51,SOFT COMPUTING,"8,859",3050,0.011980
52,KNOWLEDGE AND INFORMATION SYSTEMS,"3,242",2936,0.005480
53,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,"9,421",2895,0.007790
54,NEURAL PROCESSING LETTERS,"2,606",2891,0.003140
55,ROBOTICS AND AUTONOMOUS SYSTEMS,"6,27",2825,0.008450
56,INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,"4,19",2678,0.004590
57,Big Data Research,462,2673,0.001070
58,ACM Transactions on Intelligent Systems and Technology,"3,727",2672,0.004260
58,MACHINE LEARNING,"18,677",2672,0.004800
60,IEEE Transactions on Cognitive and Developmental Systems,461,2667,0.001240
61,DATA MINING AND KNOWLEDGE DISCOVERY,"3,566",2629,0.003540
62,Frontiers in Neurorobotics,799,2574,0.001560
63,International Journal of Interactive Multimedia and Artificial Intelligence,537,2561,0.000580
64,Swarm Intelligence,591,2556,0.000480
65,COMPUTATIONAL LINGUISTICS,"2,426",2510,0.001270
66,NEURAL COMPUTATION,"14,624",2505,0.005890
67,JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,"4,623",2441,0.003490
68,SIAM Journal on Imaging Sciences,"3,789",2313,0.010160
